treeid,year,latbi,site,plot,replicate,provenance.lat,provenance.long,sampleType,lengthCM,BAI,budburst,flowers,leafout,flobuds,flobudburst,fruit,ripefruit,budset,leafcolor,pgsGDD5,pgsGSL
BETALL_GR13_P1,2019,Betula alleghaniensis,GR,13,P1,44.794942,-71.146683,cookie,0.24638000000000002,123.22652964670654,107,NA,127,NA,NA,NA,NA,260,NA,2012.2666666666673,133
BETALL_GR13_P1,2020,Betula alleghaniensis,GR,13,P1,44.794942,-71.146683,cookie,0.31242,212.0368117031389,98,NA,130.5,NA,NA,NA,NA,282,275,2354.722222222221,152
BETALL_GR13_P15,2018,Betula alleghaniensis,GR,13,P15,44.794942,-71.146683,cookie,0.14308666666666667,60.02051431405681,103,NA,131,NA,NA,NA,NA,253,NA,1997.0888888888883,122
BETALL_GR13_P15,2019,Betula alleghaniensis,GR,13,P15,44.794942,-71.146683,cookie,0.153924,85.05186378147317,107,NA,119,NA,NA,NA,NA,249,232,1916.7555555555557,130
BETALL_GR13_P15,2020,Betula alleghaniensis,GR,13,P15,44.794942,-71.146683,cookie,0.038946666666666664,22.924797574315058,NA,NA,135,NA,NA,NA,NA,263,268,2112.2777777777765,128
BETALL_GR13_P2,2018,Betula alleghaniensis,GR,13,P2,44.794942,-71.146683,cookie,0.49360666666666664,227.4758507862536,114,NA,128,NA,NA,NA,NA,263,NA,2179.3499999999995,135
BETALL_GR13_P2,2019,Betula alleghaniensis,GR,13,P2,44.794942,-71.146683,cookie,0.50927,460.22281057506535,107,NA,123,NA,NA,NA,NA,260,240,2037.4916666666672,137
BETALL_GR13_P2,2020,Betula alleghaniensis,GR,13,P2,44.794942,-71.146683,cookie,0.233045,309.3658598981584,108,NA,143,NA,NA,NA,NA,255,268,1953.027777777777,112
BETALL_GR14_P15,2018,Betula alleghaniensis,GR,14,P15,44.794942,-71.146683,cookie,0.12192,15.55254155843253,NA,NA,135,NA,NA,NA,NA,225,263,1465.1138888888886,90
BETALL_GR14_P15,2019,Betula alleghaniensis,GR,14,P15,44.794942,-71.146683,cookie,0.07789333333333334,14.866121826748453,107,NA,119,NA,NA,NA,NA,249,232,1916.7555555555557,130
BETALL_GR14_P15,2020,Betula alleghaniensis,GR,14,P15,44.794942,-71.146683,cookie,0.37422666666666665,126.48364532234525,NA,NA,143,NA,NA,NA,NA,263,275,2037.3333333333321,120
BETALL_GR9_P3,2018,Betula alleghaniensis,GR,9,P3,44.794942,-71.146683,cookie,0.37338,86.56252767915586,114,NA,128,NA,NA,NA,NA,263,297,2179.3499999999995,135
BETALL_GR9_P3,2019,Betula alleghaniensis,GR,9,P3,44.794942,-71.146683,cookie,0.5909733333333334,318.74197509137855,NA,NA,127,NA,NA,NA,NA,249,240,1876.838888888889,122
BETALL_GR9_P3,2020,Betula alleghaniensis,GR,9,P3,44.794942,-71.146683,cookie,0.3852333333333333,330.27261048572115,108,NA,143,NA,NA,NA,NA,248,275,1839.3055555555552,105
BETALL_SH2_P6,2018,Betula alleghaniensis,SH,2,P6,45.932675,-74.02507,cookie,0.49868666666666667,78.71464224289382,110,NA,124,NA,NA,NA,NA,263,NA,2220.3749999999995,139
BETALL_SH2_P6,2019,Betula alleghaniensis,SH,2,P6,45.932675,-74.02507,cookie,0.3852333333333333,171.51102313489318,100,NA,115,NA,NA,NA,NA,249,240,1932.7944444444447,134
