date,maxTempC,meanTempC,minTempC,source,year,doy,GDD_5,GDD_10
2018-03-14,5.022222222222221,0.4729745370370371,-3.0333333333333337,weldhillsite,2018,73,102.99444444444443,35.53055555555556
2018-03-15,6.633333333333332,2.3255787037037035,-0.5055555555555556,weldhillsite,2018,74,103.81111111111109,35.53055555555556
2018-03-16,3.2222222222222205,0.11030092592592577,-3.0055555555555555,weldhillsite,2018,75,103.81111111111109,35.53055555555556
2018-03-17,5.36111111111111,-1.5461805555555554,-6.738888888888888,weldhillsite,2018,76,103.99166666666665,35.53055555555556
2018-03-18,0.68888888888889,-5.027719907407407,-10.16111111111111,weldhillsite,2018,77,103.99166666666665,35.53055555555556
2018-03-19,2.9555555555555557,-2.6728009259259258,-8.066666666666666,weldhillsite,2018,78,103.99166666666665,35.53055555555556
2018-03-20,5.716666666666666,-0.1785300925925923,-5.511111111111112,weldhillsite,2018,79,104.34999999999998,35.53055555555556
2018-03-21,3.6166666666666654,1.3906828703703702,-0.8722222222222223,weldhillsite,2018,80,104.34999999999998,35.53055555555556
2018-03-22,5.844444444444446,2.0553819444444446,-0.25555555555555604,weldhillsite,2018,81,104.7722222222222,35.53055555555556
2018-03-23,7.244444444444444,3.340277777777778,-0.6500000000000009,weldhillsite,2018,82,105.89444444444442,35.53055555555556
2018-03-24,8.072222222222223,3.9111689814814814,1.4000000000000017,weldhillsite,2018,83,107.43055555555553,35.53055555555556
2018-03-25,2.8500000000000014,1.1765046296296295,-1.0166666666666657,weldhillsite,2018,84,107.43055555555553,35.53055555555556
2018-03-26,4.427777777777777,0.9869212962962963,-2.5944444444444454,weldhillsite,2018,85,107.43055555555553,35.53055555555556
2018-03-27,7.544444444444443,2.0396990740740737,-2.7111111111111104,weldhillsite,2018,86,108.70277777777775,35.53055555555556
2018-03-28,14.33888888888889,6.672048611111111,1.9111111111111099,weldhillsite,2018,87,113.3722222222222,37.7
2018-03-29,12.583333333333332,7.024074074074074,1.2055555555555564,weldhillsite,2018,88,117.16388888888888,38.99166666666667
2018-03-30,18.511111111111106,11.708854166666667,7.822222222222221,weldhillsite,2018,89,125.33055555555555,43.24722222222222
2018-03-31,14.6,7.624363425925925,3.405555555555557,weldhillsite,2018,90,130.13055555555556,45.54722222222222
2018-04-01,14.866666666666665,8.413483796296296,2.5833333333333326,weldhillsite,2018,91,135.0638888888889,47.980555555555554
2018-04-02,4.688888888888887,1.7182291666666665,-0.9277777777777787,weldhillsite,2018,92,135.0638888888889,47.980555555555554
2018-04-03,8.838888888888887,2.8832754629629624,-1.8444444444444446,weldhillsite,2018,93,136.98333333333335,47.980555555555554
2018-04-04,14.100000000000001,7.600520833333333,3.483333333333335,weldhillsite,2018,94,141.53333333333336,50.03055555555555
2018-04-05,5.2555555555555555,1.9109375,-1.6388888888888884,weldhillsite,2018,95,141.66111111111113,50.03055555555555
