"year","budburst","flowers","leafout","flobuds","flobudburst","fruit","ripefruit","budset","leafcolor","provenance.lat","provenance.long","treeid","spp"
2019,112,NA,137,NA,NA,NA,NA,249,240,45.932675,-74.02507,"BETALL_SH4B_P9","BETALL"
2019,107,NA,119,NA,NA,NA,NA,263,240,45.932675,-74.02507,"BETALL_SH5_P6","BETALL"
2019,NA,NA,NA,NA,NA,NA,NA,274,232,45.932675,-74.02507,"BETALL_SH5_P9","BETALL"
2019,112,NA,119,NA,NA,NA,NA,260,232,45.932675,-74.02507,"BETALL_SH7_P16","BETALL"
2019,112,NA,127,NA,NA,NA,NA,249,240,45.932675,-74.02507,"BETALL_SH9_P6","BETALL"
2019,112,NA,119,NA,NA,NA,NA,263,245,45.932675,-74.02507,"BETALL_SH9_P9","BETALL"
2019,112,NA,135,NA,NA,NA,NA,260,267,44.112337,-71.230138,"BETALL_WM8_P1","BETALL"
2019,107,NA,119,NA,NA,NA,NA,260,232,44.112337,-71.230138,"BETALL_WM8_P9","BETALL"
2019,107,NA,115,NA,NA,NA,NA,260,240,44.112337,-71.230138,"BETALL_WM8A_P12","BETALL"
2019,107,NA,123,NA,NA,NA,NA,249,240,44.112337,-71.230138,"BETALL_WM8A_P5","BETALL"
2019,103,NA,127,NA,NA,NA,NA,274,240,44.112337,-71.230138,"BETALL_WM8B_P12","BETALL"
2019,100,NA,127,NA,NA,NA,NA,260,232,44.112337,-71.230138,"BETALL_WM8B_P5","BETALL"
2019,NA,NA,150,NA,206,NA,NA,NA,NA,44.112337,-71.230138,"BETALL_WM9_P16","BETALL"
2019,107,NA,127,NA,NA,NA,NA,260,240,44.112337,-71.230138,"BETALL_WM9_P5","BETALL"
2020,108,NA,135,NA,NA,NA,220,255,268,44.794942,-71.146683,"BETALL_GR1_P3","BETALL"
2020,98,NA,143,NA,NA,NA,NA,263,248,44.794942,-71.146683,"BETALL_GR12_P1","BETALL"
2020,100,NA,135,NA,NA,NA,NA,248,268,44.794942,-71.146683,"BETALL_GR12_P3","BETALL"
2020,98,NA,130.5,NA,NA,NA,NA,282,275,44.794942,-71.146683,"BETALL_GR13_P1","BETALL"
2020,NA,NA,135,NA,NA,NA,NA,263,268,44.794942,-71.146683,"BETALL_GR13_P15","BETALL"
2020,108,NA,143,NA,NA,NA,NA,255,268,44.794942,-71.146683,"BETALL_GR13_P2","BETALL"
2020,NA,NA,143,NA,NA,NA,NA,263,275,44.794942,-71.146683,"BETALL_GR14_P15","BETALL"
2020,NA,NA,135,NA,NA,NA,NA,248,293,44.794942,-71.146683,"BETALL_GR14_P16","BETALL"
2020,108,NA,143,NA,NA,NA,NA,248,275,44.794942,-71.146683,"BETALL_GR9_P3","BETALL"
2020,98,NA,148,NA,NA,NA,NA,255,275,45.932675,-74.02507,"BETALL_SH2_P6","BETALL"
2020,108,NA,135,NA,NA,NA,NA,248,275,45.932675,-74.02507,"BETALL_SH4_P3","BETALL"
2020,NA,NA,143,NA,NA,NA,NA,282,293,45.932675,-74.02507,"BETALL_SH4A_P9","BETALL"
2020,NA,NA,133,NA,NA,NA,NA,NA,NA,45.932675,-74.02507,"BETALL_SH4B_P9","BETALL"
2020,108,NA,143,NA,NA,NA,NA,268,275,45.932675,-74.02507,"BETALL_SH5_P6","BETALL"
2020,NA,NA,143,NA,NA,NA,NA,268,293,45.932675,-74.02507,"BETALL_SH5_P9","BETALL"
2020,NA,NA,135,NA,NA,NA,NA,268,275,45.932675,-74.02507,"BETALL_SH7_P16","BETALL"
2020,108,NA,148,NA,NA,NA,NA,263,275,45.932675,-74.02507,"BETALL_SH9_P6","BETALL"
2020,NA,NA,154,NA,NA,NA,NA,268,275,45.932675,-74.02507,"BETALL_SH9_P9","BETALL"
2020,108,NA,143,NA,NA,NA,NA,268,275,44.112337,-71.230138,"BETALL_WM8_P1","BETALL"
2020,NA,NA,NA,NA,NA,NA,NA,268,293,44.112337,-71.230138,"BETALL_WM8_P9","BETALL"
2020,NA,NA,135,NA,NA,NA,NA,248,268,44.112337,-71.230138,"BETALL_WM8A_P12","BETALL"
2020,108,NA,135,NA,NA,NA,NA,263,275,44.112337,-71.230138,"BETALL_WM8A_P5","BETALL"
2020,NA,NA,143,NA,NA,NA,NA,282,275,44.112337,-71.230138,"BETALL_WM8B_P12","BETALL"
2020,98,NA,143,NA,NA,NA,NA,282,229,44.112337,-71.230138,"BETALL_WM8B_P5","BETALL"
2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.112337,-71.230138,"BETALL_WM9_P16","BETALL"
2020,NA,NA,143,NA,NA,NA,NA,268,275,44.112337,-71.230138,"BETALL_WM9_P5","BETALL"
2020,NA,NA,135,NA,NA,NA,NA,282,293,44.112337,-71.230138,"BETALL_WM9_P9","BETALL"
2018,103,NA,184,NA,NA,NA,NA,274,260,44.794942,-71.146683,"BETPAP_GR5_P1","BETPAP"
2018,100,NA,124,NA,NA,NA,NA,263,NA,44.794942,-71.146683,"BETPAP_GR5A_P2","BETPAP"
2018,103,NA,138,NA,NA,NA,NA,NA,268,44.794942,-71.146683,"BETPAP_GR5B_P2","BETPAP"
2018,110,NA,124,NA,NA,NA,NA,263,NA,44.794942,-71.146683,"BETPAP_GR8_P12","BETPAP"
2018,103,NA,124,NA,NA,NA,NA,268,274,44.794942,-71.146683,"BETPAP_GR8_P3","BETPAP"
2018,96,NA,135,NA,NA,NA,NA,253,274,44.794942,-71.146683,"BETPAP_GR8_P5","BETPAP"
