"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PGTM","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-02-21","4.0",,"5.6","0.0","2.8","6.7","1.1","  110","  110","9.4","13.9",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-02-22","6.4",,"0.0","0.0","5.3","10.0","1.1","  220","  230","13.0","15.7",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-02-23","2.7",,"0.0","0.0","5.9","11.1","1.1","  270","  270","7.6","10.3",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-02-24","7.3",,"0.0","0.0","3.3","7.2","-4.3","  290","  300","11.6","16.5",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-02-25","4.7",,"0.0","0.0","-3.7","-1.6","-5.5","  300","  300","9.4","12.5",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-02-26","5.2",,"0.0","0.0","-4.7","0.0","-8.8","  240","  250","10.7","14.8",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-02-27","5.3",,"0.5","10.0","-6.6","-1.0","-11.0","  290","  290","13.0","16.5","    1",,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-02-28","5.3",,"0.0","0.0","-7.7","-3.8","-12.1","  290","  280","11.6","14.8",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-03-01","3.6",,"0.0","0.0","-4.4","2.2","-8.8","  230","  220","8.1","9.8",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-03-02","3.1",,"0.0","0.0","1.2","4.4","-1.0","   30","   40","7.2","8.1",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-03-03","5.2",,"0.0","0.0","-4.1","-1.0","-8.8","  330","  350","9.8","11.6",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-03-04","3.6",,"0.0","0.0","-6.6","-0.5","-11.0","  240","  230","5.8","7.6",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-03-05","4.3",,"0.0","3.0","-3.2","-1.6","-6.6","   10","   20","7.2","8.9",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-03-06","3.3",,"0.0","0.0","-7.0","-3.8","-11.6","  350","  350","7.2","9.8",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-03-07","2.1",,"0.0","0.0","-3.7","1.1","-8.8","   80","  110","5.4","6.7",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-03-08","3.4",,"0.0","0.0","3.1","12.8","-2.7","  320","  330","8.9","11.2",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-03-09","4.7",,"0.0","0.0","2.6","6.1","-1.0","  280","  330","9.4","11.2",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-03-10","3.6",,"0.8","15.0","1.7","6.7","-2.1","  120","  230","6.7","8.9",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-03-11","3.8",,"0.0","0.0","6.7","15.6","1.1","  280","  290","7.2","13.4",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-03-12","2.2",,"10.9","0.0","5.7","7.8","2.8","  330","  350","6.7","8.9","    1",,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-03-13","8.2",,"1.5","38.0","-2.3","2.8","-8.2","  320","  290","12.5","17.9",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-03-14","6.3",,"0.0","0.0","-4.3","3.9","-8.8","  210","  220","9.8","13.9",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-03-15","6.5",,"0.3","0.0","6.5","13.9","3.3","  300","  270","9.4","17.9",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-03-16","7.3",,"0.0","0.0","1.5","2.8","-4.9","  270","  250","10.3","14.8",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-03-17","3.7",,"0.0","0.0","-5.1","-2.7","-8.8","  340","  330","7.2","10.3",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-03-18","3.7",,"0.0","0.0","-2.9","0.6","-6.6","  130",,"5.4",,,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-03-19","4.6",,"0.0","0.0","0.4","5.0","-2.7","  110","  100","9.4","11.2",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-03-20","5.4",,"7.4","0.0","5.4","11.1","2.8","  270","  320","11.6","15.7","    1",,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-03-21","7.5",,"0.0","0.0","4.3","7.2","1.1","  290","  290","11.6","16.5",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-03-22","6.3",,"0.0","0.0","4.3","13.9","-2.1","  270","  280","14.8","19.7",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-03-23","5.8",,"0.0","0.0","3.8","6.7","-5.5","  340","  340","9.8","12.5",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-03-24","5.7",,"0.0","0.0","-3.8","0.6","-8.2","  320","  350","10.7","13.9",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-03-25","4.5",,"0.0","0.0","-1.5","3.9","-6.0","  220","  230","9.4","11.6",,,,,,,,
